"","_id","bonusPointsEarned","bonusPointsEarnedReason","createDate","dateScanned","finishedDate","modifyDate","pointsAwardedDate","pointsEarned...9","purchaseDate","purchasedItemCount","barcode","description","finalPrice","itemPrice","needsFetchReview","partnerItemId","preventTargetGapPoints","quantityPurchased","userFlaggedBarcode","userFlaggedNewItem","userFlaggedPrice","userFlaggedQuantity","needsFetchReviewReason","pointsNotAwardedReason","pointsPayerId","rewardsGroup","rewardsProductPartnerId","userFlaggedDescription","originalMetaBriteBarcode","originalMetaBriteDescription","brandCode","competitorRewardsGroup","discountedItemPrice","originalReceiptItemText","itemNumber","originalMetaBriteQuantityPurchased","pointsEarned...38","targetPrice","competitiveProduct","originalFinalPrice","originalMetaBriteItemPrice","deleted","priceAfterCoupon","metabriteCampaignId","rewardsReceiptStatus","totalSpent","userId"
"6108","6013410c0a7214ad5000002a",NA,NA,2021-01-28 16:56:12,2021-01-28 16:56:12,2021-01-28 16:56:12,2021-01-28 16:56:12,2021-01-28 16:56:12,"840.0",2021-01-27 18:00:00,4,"036000320893","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","21.00","21.00",NA,"3",NA,1,NA,NA,NA,NA,NA,NA,"550b2565e4b001d5e9e4146f","HUGGIES ONE AND DONE SIMPLY CLEAN BABY WIPES 200 COUNT OR LARGER","550b2565e4b001d5e9e4146f",NA,NA,NA,NA,NA,"21.00","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","4023",NA,"210.0",NA,NA,NA,NA,NA,NA,NA,"FINISHED","84.00","5fa41775898c7a11a6bcef3e"
"6109","601340ff0a7214ad50000024",NA,NA,2021-01-28 16:55:59,2021-01-28 16:55:59,2021-01-28 16:56:00,2021-01-28 16:56:00,2021-01-28 16:56:00,"840.0",2021-01-27 18:00:00,4,"036000320893","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","21.00","21.00",NA,"0",NA,1,NA,NA,NA,NA,NA,NA,"550b2565e4b001d5e9e4146f","HUGGIES ONE AND DONE SIMPLY CLEAN BABY WIPES 200 COUNT OR LARGER","550b2565e4b001d5e9e4146f",NA,NA,NA,NA,NA,"21.00","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","4023",NA,"210.0",NA,NA,NA,NA,NA,NA,NA,"FINISHED","84.00","5fa41775898c7a11a6bcef3e"
"6110","601340ff0a7214ad50000024",NA,NA,2021-01-28 16:55:59,2021-01-28 16:55:59,2021-01-28 16:56:00,2021-01-28 16:56:00,2021-01-28 16:56:00,"840.0",2021-01-27 18:00:00,4,"036000320893","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","21.00","21.00",NA,"1",NA,1,NA,NA,NA,NA,NA,NA,"550b2565e4b001d5e9e4146f","HUGGIES ONE AND DONE SIMPLY CLEAN BABY WIPES 200 COUNT OR LARGER","550b2565e4b001d5e9e4146f",NA,NA,NA,NA,NA,"21.00","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","4023",NA,"210.0",NA,NA,NA,NA,NA,NA,NA,"FINISHED","84.00","5fa41775898c7a11a6bcef3e"
"6111","601340ff0a7214ad50000024",NA,NA,2021-01-28 16:55:59,2021-01-28 16:55:59,2021-01-28 16:56:00,2021-01-28 16:56:00,2021-01-28 16:56:00,"840.0",2021-01-27 18:00:00,4,"036000320893","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","21.00","21.00",NA,"2",NA,1,NA,NA,NA,NA,NA,NA,"550b2565e4b001d5e9e4146f","HUGGIES ONE AND DONE SIMPLY CLEAN BABY WIPES 200 COUNT OR LARGER","550b2565e4b001d5e9e4146f",NA,NA,NA,NA,NA,"21.00","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","4023",NA,"210.0",NA,NA,NA,NA,NA,NA,NA,"FINISHED","84.00","5fa41775898c7a11a6bcef3e"
"6112","601340ff0a7214ad50000024",NA,NA,2021-01-28 16:55:59,2021-01-28 16:55:59,2021-01-28 16:56:00,2021-01-28 16:56:00,2021-01-28 16:56:00,"840.0",2021-01-27 18:00:00,4,"036000320893","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","21.00","21.00",NA,"3",NA,1,NA,NA,NA,NA,NA,NA,"550b2565e4b001d5e9e4146f","HUGGIES ONE AND DONE SIMPLY CLEAN BABY WIPES 200 COUNT OR LARGER","550b2565e4b001d5e9e4146f",NA,NA,NA,NA,NA,"21.00","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","4023",NA,"210.0",NA,NA,NA,NA,NA,NA,NA,"FINISHED","84.00","5fa41775898c7a11a6bcef3e"
"6113","6012ea2d0a720f05f8000068",750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-28 10:45:33,2021-01-28 10:45:33,2021-01-28 10:45:40,2021-01-28 10:45:41,2021-01-28 10:45:40,"1049.8",2021-01-27 18:00:00,2,"036000495737","HUGGIES SPECIAL DELIVERY NEWBORN DISPOSABLE DIAPER BOX 66 CT","19.99","19.99",NA,"1014",NA,1,NA,NA,NA,NA,NA,NA,"550b2565e4b001d5e9e4146f","HUGGIES SPECIAL DELIVERY DIAPERS 60 - 69 COUNT","550b2565e4b001d5e9e4146f",NA,NA,NA,"HUGGIES",NA,"19.99",NA,"036000495737",NA,"199.9",NA,NA,NA,NA,NA,NA,"HUGGIES SPECIAL DELIVERY DIAPERS 60 - 69 COUNT","FINISHED","29.98","6012e1e6a4b74c3cbc516088"
"6114","6012ea2d0a720f05f8000068",750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-28 10:45:33,2021-01-28 10:45:33,2021-01-28 10:45:40,2021-01-28 10:45:41,2021-01-28 10:45:40,"1049.8",2021-01-27 18:00:00,2,"036000432190","HUGGIES SIMPLY CLEAN PREMOISTENED FC HND AND BTM WP FRAGRANCE FREE NONFLUSHABLE BAG 72 COUNT","9.99","9.99",NA,"1017",NA,1,NA,NA,NA,NA,NA,NA,"550b2565e4b001d5e9e4146f","HUGGIES ONE AND DONE SIMPLY CLEAN BABY WIPES 56 - 159 COUNT","550b2565e4b001d5e9e4146f",NA,"",NA,NA,NA,"9.99",NA,"036000432190",NA,"99.9",NA,NA,NA,NA,NA,NA,NA,"FINISHED","29.98","6012e1e6a4b74c3cbc516088"
"6115","60132b1f0a7214ad5000000c",5,"All-receipts receipt bonus",2021-01-28 15:22:39,2021-01-28 15:22:39,2021-01-28 15:22:40,2021-01-28 15:22:40,2021-01-28 15:22:40,"5.0",2021-01-27 15:22:39,1,"4011","ITEM NOT FOUND","1","1",NA,"1",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FINISHED","1.00","60132acb73c60b3ca7f3ba32"
"6116","60132ae40a7214ad50000007",250,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-28 15:21:40,2021-01-28 15:21:40,2021-01-28 15:21:41,2021-01-28 15:21:41,2021-01-28 15:21:40,"250.0",2021-01-20 18:00:00,1,"070470400235","Yoplait Whips! Non-Fat Greek Yogurt - Tropical Mousse, 4 Oz","10.00","10.00",NA,"0",NA,1,NA,NA,NA,NA,NA,"Action not allowed for user and CPG","5332f5f3e4b03c9a25efd0ae","YOPLAIT GREEK YOGURT","5332f5f3e4b03c9a25efd0ae",NA,NA,NA,"BRAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FINISHED","10.00","60132acb73c60b3ca7f3ba32"
"6117","60132aef0a720f05f800006d",300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-28 15:21:51,2021-01-28 15:21:51,2021-01-28 15:21:52,2021-01-28 15:21:52,2021-01-28 15:21:52,"300.0",2021-01-20 18:00:00,1,"070470400235","Yoplait Whips! Non-Fat Greek Yogurt - Tropical Mousse, 4 Oz","10.00","10.00",NA,"0",NA,1,NA,NA,NA,NA,NA,"Action not allowed for user and CPG","5332f5f3e4b03c9a25efd0ae","YOPLAIT GREEK YOGURT","5332f5f3e4b03c9a25efd0ae",NA,NA,NA,"BRAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FINISHED","10.00","60132acb73c60b3ca7f3ba32"
